,dataset,agegroup,gender,mask,folder,filename
0,original,young,male,wear,000309_male_Asian_29,mask5.jpg
1,original,young,male,wear,000309_male_Asian_29,mask2.jpg
2,original,young,male,normal,000309_male_Asian_29,normal.jpg
3,original,young,male,wear,000309_male_Asian_29,mask3.jpg
4,original,young,male,wear,000309_male_Asian_29,mask4.jpg
5,original,young,male,incorrect,000309_male_Asian_29,incorrect_mask.jpg
6,original,young,male,wear,000309_male_Asian_29,mask1.jpg
7,original,young,male,wear,000685_male_Asian_19,mask5.jpg
8,original,young,male,wear,000685_male_Asian_19,mask2.jpg
9,original,young,male,normal,000685_male_Asian_19,normal.jpg
10,original,young,male,wear,000685_male_Asian_19,mask3.jpg
11,original,young,male,wear,000685_male_Asian_19,mask4.jpg
12,original,young,male,incorrect,000685_male_Asian_19,incorrect_mask.jpg
13,original,young,male,wear,000685_male_Asian_19,mask1.jpg
14,original,young,male,wear,001003_male_Asian_24,mask5.jpg
15,original,young,male,wear,001003_male_Asian_24,mask2.jpg
16,original,young,male,normal,001003_male_Asian_24,normal.jpg
17,original,young,male,wear,001003_male_Asian_24,mask3.jpg
18,original,young,male,wear,001003_male_Asian_24,mask4.jpg
19,original,young,male,incorrect,001003_male_Asian_24,incorrect_mask.jpg
20,original,young,male,wear,001003_male_Asian_24,mask1.jpg
21,original,young,female,wear,001004_female_Asian_23,mask5.jpg
22,original,young,female,wear,001004_female_Asian_23,mask2.jpg
23,original,young,female,normal,001004_female_Asian_23,normal.jpg
24,original,young,female,wear,001004_female_Asian_23,mask3.jpg
25,original,young,female,wear,001004_female_Asian_23,mask4.jpg
26,original,young,female,incorrect,001004_female_Asian_23,incorrect_mask.jpg
27,original,young,female,wear,001004_female_Asian_23,mask1.jpg
28,original,young,male,wear,001005_male_Asian_24,mask5.jpg
29,original,young,male,wear,001005_male_Asian_24,mask2.jpg
30,original,young,male,normal,001005_male_Asian_24,normal.jpg
31,original,young,male,wear,001005_male_Asian_24,mask3.jpg
32,original,young,male,wear,001005_male_Asian_24,mask4.jpg
33,original,young,male,incorrect,001005_male_Asian_24,incorrect_mask.jpg
34,original,young,male,wear,001005_male_Asian_24,mask1.jpg
35,original,young,female,wear,001012_female_Asian_18,mask5.jpg
36,original,young,female,wear,001012_female_Asian_18,mask2.jpg
37,original,young,female,normal,001012_female_Asian_18,normal.jpg
38,original,young,female,wear,001012_female_Asian_18,mask3.jpg
39,original,young,female,wear,001012_female_Asian_18,mask4.jpg
40,original,young,female,incorrect,001012_female_Asian_18,incorrect_mask.jpg
41,original,young,female,wear,001012_female_Asian_18,mask1.jpg
42,original,young,female,wear,001013_female_Asian_25,mask5.jpg
43,original,young,female,wear,001013_female_Asian_25,mask2.jpg
44,original,young,female,normal,001013_female_Asian_25,normal.jpg
45,original,young,female,wear,001013_female_Asian_25,mask3.jpg
46,original,young,female,wear,001013_female_Asian_25,mask4.jpg
47,original,young,female,incorrect,001013_female_Asian_25,incorrect_mask.jpg
48,original,young,female,wear,001013_female_Asian_25,mask1.jpg
49,original,young,male,wear,001014_male_Asian_19,mask5.jpg
50,original,young,male,wear,001014_male_Asian_19,mask2.jpg
51,original,young,male,normal,001014_male_Asian_19,normal.jpg
52,original,young,male,wear,001014_male_Asian_19,mask3.jpg
53,original,young,male,wear,001014_male_Asian_19,mask4.jpg
54,original,young,male,incorrect,001014_male_Asian_19,incorrect_mask.jpg
55,original,young,male,wear,001014_male_Asian_19,mask1.jpg
56,original,young,male,wear,001017_male_Asian_24,mask5.jpg
57,original,young,male,wear,001017_male_Asian_24,mask2.jpg
58,original,young,male,normal,001017_male_Asian_24,normal.jpg
